,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20221014,2022,10,14,5,강지언,옛날에 에타 없을 때는 어떻게 학교 정보를 얻었나 생각이 들정도로 너무 유용해요! 특히 교수님들 강의평이 거의 대부분 정확해서 시간표 짤때도 너무 좋습니다. 옛날에 코로나때문에 대부분 비대면 수업일 때 아는 선배도 없고 학교에 대해 잘 모르고 있었는데 에타를 통해 얻은게 많아요ㅎㅎ 앱사용도 간편하고 너무좋습니당!
1,2,20221012,2022,10,12,5,feelca,"에브리타임 항상 사용하고 있는데 넘 좋아요 학식, 그리고 수업시간 전에 무슨 수업있는지 뜨는 알림창도 유용하고 시간표네 학교 시간표 뿐만아니라 공부, 아르바이트 등 다양한 스케줄을 한 번에 적을 수 있어서 편리해요 좋은 앱 만들어주셔서 감사합니다 :)"
2,3,20220924,2022,09,24,5,차준하,대학생이면 필수로 사용해야하는 앱입니다! 정말 다양하고 편리한기능이있는데요! 학사공지/학사일정등 학교에 관한 사항들을 빠르게 알수있습니다! 또한 장터게시판이라는 곳에서 전공책이나 교양관련책들을 저렴하게 살수있습니다!! 특히 시간표 마법사라는 기능이 너무 좋은 기능인거같아요! 수강할과목을 그룹에 담으면 1개씩 꺼내서 조합해주는 기능입니다! 시간표 짤때 시간이 겹쳐서 골머리를 앓는 경우는없을겁니다!! 그리고 자유게시판/익명게시판/새내기게시판등 각종 게시판을이용해 모르는것을 묻거나 선배한테 정보나 조언을 얻을수있는 공간도 존재합니다! 물론 게시판에는 익명성이 보장됩니다! 또한 각종 공모전/동아리/스터디/채용정보/대회활동 등을 쉽게 찾을수있어 편리한거같아요! 그리구 강의평을통해 자기가 들을려구하는 과목에대해 미리 알수있고 포인트를 사용하면 자기가 듣는과목에관한 시험정보도 알수있어 매우 좋은 앱입니다! 정말 대학생에게는 필수 앱인거같아 강하게 추천합니다!!
3,4,20220622,2022,06,22,4,정수연,모든 대학생들이 거의 필수적으로 까는 앱인 것 같아요. 시간표나 강의 세부사항을 직관적으로 알려줘서 좋고 익명 커뮤니티도 은근 유익해요! 장터게시판 기능도 잘 쓰고 있습니다. 별 하나 뺀 이유는 알람 설정 다 켜놨는데도 가끔 쪽지나 댓글 알람이 안오더라구요. 그것만 빼면 다 좋은 앱입니다
4,5,20221014,2022,10,14,5,이희주,"시간표 보기가 특히 편한 것 같아요 바탕화면에 깔아두고 옆에 위젯처럼 쓰기도 너무 좋고요 시간표 누르면 바로 강의평하고 연동될 수 있는 것도 좋아요 그리고 친구들과 에타 친구를 하면 타학교 친구들하고도 시간표를 공유할 수 있어서 서로의 일정을 바로 확인하기도 편하고 좋습니다. 전체적으로 광고 같은 것도 많지 않아서 사용하는데 불편하지 않고, 이벤트도 많아서 참여하기 좋습니다 놓치는 정보가 없게 에타에서 확인차 검색해 볼 수도 있고 시험 정보나, 시험 일정, 과제, 분실물 확인, 기타 정보 등 빠르게 알 수 있는 게 많아 좋아요"
5,6,20220926,2022,09,26,5,안진영,"대학생이 되었다면, 일단 수능 끝났다면 바로 깔아야 할 앱..! 시간표 기능이 제일 유용해요 테마도 예쁜걸로 원하는 걸로 바꿀 수도 있고 자유롭게 내 일정 추가할 수도 있고 무엇보다도 친구들과 공유까지 할 수 있어서 재미있어용 수강신청하기 전에 미리미리 시간 맞는지 체크하기도 좋고, 효율적인 생활을 할 수 있게끔 도와주는..!! 학교에 대해 궁금한 것들 가끔 HOT게시판에서 알람으로 꿀팁같은거 올라올때도 있어서 너무 좋아요 물론 선택적으로 알아서 잘 걸러서 듣기!"
6,7,20220918,2022,09,18,3,김현영,"대학생활에 잘 적응할 수 있게 해 주는 앱이고, 내 시간표 확인 뿐만 아니라 다른 사람 시간표도 확인할 수 있어서 좋은 것 같아요..! 글도 자유롭게 쓸 수 있고, 다 좋은데 ❗쪽지를 할 때 쪽지를 시작한 게시글의 제목은 나오는데 다시 그 게시글로 돌아갈 수 있는 방법이 번거로워요ㅠ (게시글 제목을 클릭하면 게시글로 갈 수 있었으면 좋겠어요...) 그것 외에는 일단 없습니다!"
7,8,20221004,2022,10,04,5,임혜영,1학년때부터 쭉 사용해오고 있는 필수 앱이에요!! 우선 시간표를 적절한 시간과 상황에 자유롭게 짤 수 있어서 너무 좋구요! 전국의 여러 대외활동 및 캠페인을 알 수 있어 유익해요👍 그 외 중고 책 장터나 과목별 리뷰 시스템이 있어 대학생활 하는 데 있어 도움되는 부분이 많은 앱이에요
8,9,20220608,2022,06,08,5,WATER범,"대학 생활하면서 필요한 정보들을 알아볼 수 있어서 너무 좋은 어플인 것 같습니다! 대학에 입학하고 학교 안 위치나 시설 사용법들을 몰랐는데, 앱을 통해서 알 수 있었습니다. 또 다양한 대외활동들을 쉽게 볼 수 있어서 너무 좋은 것 같습니다. 시간표, 학사일정 등 필요한 시스템이 너무 잘 이루어져있어 사용하기 편리합니다!!!!"
9,10,20220620,2022,06,20,5,우지수,대학교에 처음입학하고 가장먼저 깔았던앱이 에브리타임인데요! 이 앱의 장점은 1. 편리한 시간표 설정 2. 설정한 시간표를 배경화면 위젯으로 설정할수있다는점 3. 학점이 나오면 기록하면 자동으로 평균계산들을 해주는점 4. 우리학교에 관한 여러 이야기들을 알수있는점 5. 궁금증을 해결할수있음 6. 심심할때 보는 심심풀이 등이 있다. 이러한 여러 장점들 덕분에 대학생활을 보다 편리하게 지낼수있었던 것 같다.
10,11,20220812,2022,08,12,1,팽이팽,"승인 반려된지 2번째입니다.. 일을 어떻게 하시는지요..?ㅎ 왜 불과 한달전에 같은 파일을 첨부했는데 승인되고, 이번에는 승인이 자꾸 반려되는건지 이해가 도저히 가질 않네요. 사람이 바뀌었나요?; 아니면 기준이 더 엄격해지기라도 했나요?; 아니, 1번째 승인 반려사유와 2번째 승인반려사유가 대립됩니다. 뭐 하루사이에 기준이 바뀐게 아닐텐데 일처리를 대체; 1차 반려사유: ""포털 학적페이지 스크린샷 등 학번이 기입되어 있는 다른 자료를 추가로 첨부하여, 다시 신청해주시기 바랍니다."" 2차 반려사유: ""아래 자료를 통해서는 불가능하므로, 올바른 자료로 다시 신청해주시기 바랍니다. -포털 스크린샷 - 합격증명서, 합격 문자, 합격 스크린샷 등등"" 아니 포털 학적페이지 스크린샷으로 학번 기입되어있는거 첨부하라면서요? 근데 2차 반려사유가 포털스크린샷이라뇨;; 엄연히 제 학교 통합사이트 기본정보 조회해서 이름과 학번, 학년, 학과 등이 모두 나와있는 정보를 첨부했습니다. 일처리 제대로 좀요;"
